symbol	lin-wt	sun-wt	sun-wt	fish-wt	ref-wt	coc-wt	lin-wt	lin-wt	fish-wt	coc-wt	fish-wt	ref-wt	sun-wt	ref-wt	sun-wt	lin-wt	coc-wt	fish-wt	coc-wt	ref-ppar	coc-ppar	ref-ppar	sun-ppar	fish-ppar	sun-ppar	ref-ppar	ref-ppar	lin-ppar	fish-ppar	lin-ppar	coc-ppar	coc-ppar	ref-ppar	sun-ppar	fish-ppar	coc-ppar	lin-ppar	fish-ppar	lin-ppar	sun-ppar
ELOVL6	-1.32	-1.25	-1.16	-1.25	-1.24	-1.02	-1.04	-1.27	-0.93	-0.92	-1.21	-1.29	-0.99	-1.32	-1.20	-1.30	-1.27	-0.93	-1.22	-1.25	-1.31	-1.01	-1.31	-1.02	-1.28	-0.93	-1.15	-1.13	-1.28	-1.17	-1.25	-0.89	-1.23	-1.20	-0.96	-0.93	-0.97	-1.25	-1.13	-1.00
COL2A1	-1.16	-1.16	-1.27	-1.16	-1.13	-1.08	-1.14	-1.24	-1.19	-1.04	-1.15	-1.23	-1.18	-1.24	-1.07	-1.26	-1.23	-1.02	-1.07	-1.13	-1.08	-1.17	-1.28	-1.13	-1.20	-1.01	-1.07	-1.06	-1.15	-1.08	-1.14	-1.09	-1.10	-1.13	-1.14	-1.01	-1.09	-1.11	-1.09	-1.13
NR1H3	-0.68	-0.69	-0.92	-0.71	-0.83	-0.81	-0.79	-0.85	-0.58	-0.82	-0.58	-0.82	-0.84	-0.84	-0.66	-0.81	-0.85	-0.72	-0.74	-0.80	-0.91	-0.97	-1.01	-0.99	-1.05	-0.77	-0.94	-0.90	-1.11	-0.91	-0.94	-0.84	-0.91	-0.93	-0.96	-0.82	-0.90	-0.91	-0.82	-0.96
NR1H2	-1.10	-0.99	-1.03	-1.08	-0.98	-0.89	-1.05	-1.07	-1.02	-0.85	-1.04	-1.10	-0.96	-1.12	-0.93	-1.07	-0.98	-1.02	-0.87	-1.04	-1.05	-1.13	-1.14	-1.15	-1.12	-1.00	-1.02	-1.05	-1.12	-1.06	-1.09	-0.90	-1.07	-1.11	-1.10	-0.95	-1.05	-1.06	-1.08	-1.01
LPIN1	-0.52	-0.52	-0.60	-0.52	-0.71	-0.69	-0.55	-0.57	-0.46	-0.69	-0.44	-0.62	-0.67	-0.70	-0.57	-0.60	-0.74	-0.54	-0.61	-0.68	-0.91	-1.07	-0.98	-1.01	-0.95	-0.85	-0.94	-0.86	-1.02	-0.90	-0.96	-0.85	-0.92	-0.97	-0.96	-0.89	-0.89	-0.95	-0.79	-1.02
CPT1A	-0.52	-0.55	-0.65	-0.64	-0.57	-0.63	-0.56	-0.65	-0.60	-0.64	-0.56	-0.62	-0.63	-0.65	-0.56	-0.66	-0.65	-0.59	-0.57	-0.59	-0.52	-0.68	-0.71	-0.63	-0.59	-0.45	-0.54	-0.49	-0.53	-0.52	-0.57	-0.54	-0.51	-0.49	-0.61	-0.51	-0.54	-0.65	-0.53	-0.60
ACADM	-0.93	-0.86	-0.95	-0.97	-0.94	-0.95	-0.90	-1.12	-0.88	-0.95	-0.87	-0.98	-0.93	-1.14	-0.83	-1.06	-0.97	-1.00	-0.88	-0.95	-0.97	-1.09	-1.02	-1.04	-1.09	-0.89	-0.90	-0.91	-1.06	-0.92	-0.99	-0.88	-1.00	-1.02	-1.03	-0.89	-0.94	-1.03	-0.86	-1.05
ABCB1B	-1.51	-1.59	-1.71	-1.57	-1.53	-1.56	-1.49	-1.57	-1.58	-1.54	-1.49	-1.51	-1.57	-1.59	-1.53	-1.50	-1.56	-1.56	-1.54	-1.62	-1.60	-1.69	-1.70	-1.56	-1.51	-1.46	-1.61	-1.43	-1.61	-1.67	-1.57	-1.53	-1.52	-1.51	-1.52	-1.53	-1.58	-1.49	-1.50	-1.67
ABCB4	-1.06	-1.02	-1.14	-1.05	-1.09	-1.01	-1.00	-1.13	-0.97	-1.07	-1.03	-1.08	-1.06	-1.19	-0.99	-1.10	-1.12	-1.01	-1.02	-1.09	-1.08	-1.12	-1.13	-1.04	-1.15	-0.90	-1.06	-1.02	-1.08	-1.05	-1.10	-0.96	-1.04	-1.01	-1.03	-0.98	-0.99	-1.07	-0.98	-1.06
ABCC6	-0.99	-0.96	-1.10	-0.99	-1.00	-1.03	-0.93	-1.07	-0.98	-0.96	-0.94	-1.03	-0.98	-1.11	-0.88	-1.01	-1.09	-0.91	-0.96	-1.00	-1.03	-1.06	-1.09	-1.07	-1.13	-0.84	-0.98	-0.98	-1.02	-0.93	-1.02	-0.98	-0.91	-1.03	-1.05	-0.88	-0.92	-0.95	-0.90	-1.00
MTR	-1.00	-1.02	-1.20	-1.00	-0.95	-1.07	-1.05	-1.02	-1.00	-1.01	-0.91	-0.97	-1.15	-1.03	-0.98	-1.03	-1.02	-1.02	-0.95	-1.00	-1.03	-1.17	-1.07	-1.11	-1.02	-0.94	-1.00	-0.90	-1.05	-1.02	-0.98	-1.05	-0.99	-0.98	-1.06	-1.03	-1.03	-1.02	-0.93	-1.12
NR4A1	-1.20	-1.06	-1.16	-1.17	-1.15	-1.13	-1.09	-1.24	-1.03	-1.09	-1.14	-1.27	-1.08	-1.30	-1.06	-1.25	-1.25	-1.09	-1.04	-1.12	-1.13	-1.24	-1.23	-1.19	-1.22	-1.06	-1.06	-1.14	-1.18	-1.13	-1.16	-1.00	-1.11	-1.10	-1.17	-0.97	-1.05	-1.15	-1.04	-1.08
NR4A2	-1.19	-1.11	-1.23	-1.16	-1.14	-1.07	-1.09	-1.18	-1.12	-1.10	-1.29	-1.19	-1.08	-1.27	-1.15	-1.19	-1.30	-1.06	-1.11	-1.21	-1.13	-1.14	-1.24	-1.25	-1.22	-0.99	-1.14	-1.08	-1.26	-1.18	-1.17	-1.03	-1.09	-1.09	-1.13	-1.00	-1.08	-1.12	-1.11	-1.09
SLC10A1	-0.67	-0.59	-0.68	-0.72	-0.78	-0.62	-0.65	-0.76	-0.55	-0.67	-0.60	-0.69	-0.67	-0.75	-0.58	-0.72	-0.69	-0.55	-0.59	-0.70	-0.67	-0.69	-0.67	-0.58	-0.67	-0.52	-0.62	-0.63	-0.66	-0.63	-0.67	-0.49	-0.63	-0.57	-0.62	-0.53	-0.58	-0.64	-0.53	-0.61
SLC22A5	-0.95	-0.95	-1.07	-0.95	-0.98	-0.94	-0.92	-1.03	-0.94	-0.95	-0.92	-1.00	-1.01	-1.00	-0.99	-0.97	-1.07	-0.91	-0.92	-1.05	-0.98	-1.02	-1.00	-1.03	-0.97	-0.78	-0.94	-0.92	-1.07	-0.98	-0.95	-0.90	-0.98	-0.92	-0.95	-0.88	-0.96	-0.96	-0.89	-0.96
NRF1	-1.16	-1.10	-1.21	-1.10	-1.11	-1.03	-1.07	-1.19	-1.05	-1.04	-1.19	-1.18	-1.14	-1.20	-0.99	-1.12	-1.23	-1.10	-1.07	-1.10	-1.13	-1.16	-1.16	-1.10	-1.13	-0.90	-1.05	-1.06	-1.15	-1.10	-1.10	-0.99	-1.04	-1.10	-1.08	-0.96	-1.03	-1.10	-1.06	-1.04
ECI2	-0.93	-0.86	-0.84	-1.05	-0.65	-0.40	-0.73	-0.62	-0.99	-0.25	-0.99	-0.89	-0.66	-0.98	-0.88	-0.85	-0.49	-0.73	-0.52	-0.98	-0.84	-0.72	-0.99	-0.96	-1.05	-0.49	-0.99	-0.93	-1.05	-0.87	-1.00	-0.57	-0.69	-0.98	-0.79	-0.79	-0.63	-1.02	-0.97	-0.65
PON1	-1.07	-0.97	-1.04	-0.99	-0.94	-0.93	-0.89	-1.04	-0.93	-0.95	-1.01	-1.16	-0.99	-1.14	-0.93	-1.00	-1.08	-0.96	-0.97	-0.99	-0.96	-1.02	-0.96	-0.98	-0.97	-0.87	-0.93	-0.94	-0.97	-0.92	-0.95	-0.84	-0.96	-0.89	-0.92	-0.84	-0.90	-0.97	-0.85	-0.87
NR1I2	1.19	1.15	1.09	1.07	1.22	1.05	1.15	1.18	1.21	1.04	1.07	1.18	1.11	1.23	1.06	1.16	1.03	1.20	1.13	1.15	0.98	0.96	0.97	1.13	1.06	1.12	1.03	1.07	1.06	1.03	1.01	0.98	1.03	1.08	1.05	1.12	1.01	1.06	1.11	1.10
RARB	-0.84	-0.86	-0.95	-0.95	-1.06	-0.80	-0.83	-1.00	-0.83	-0.77	-0.94	-0.92	-0.90	-0.92	-0.90	-0.94	-0.82	-0.82	-0.83	-0.83	-0.82	-0.78	-0.77	-0.84	-0.85	-0.68	-0.93	-0.84	-0.92	-0.81	-0.80	-0.61	-0.82	-0.81	-0.79	-0.65	-0.86	-1.04	-0.63	-0.76
RXRG	-0.79	-0.85	-0.92	-0.79	-0.84	-0.86	-0.80	-0.86	-0.83	-0.85	-0.73	-0.79	-0.89	-0.86	-0.81	-0.75	-0.83	-0.78	-0.76	-0.90	-0.82	-0.91	-0.82	-0.87	-0.80	-0.75	-0.84	-0.72	-0.84	-0.88	-0.78	-0.78	-0.84	-0.81	-0.81	-0.77	-0.83	-0.80	-0.69	-0.83
THRSP	-0.18	-0.15	-0.24	-0.15	-0.35	-0.29	-0.22	-0.23	-0.17	-0.18	-0.03	-0.33	-0.33	-0.46	-0.23	-0.19	-0.28	-0.18	-0.33	-0.30	-0.49	-0.47	-0.90	-0.61	-0.73	-0.34	-0.56	-0.61	-0.56	-0.56	-0.59	-0.24	-0.46	-0.68	-0.59	-0.46	-0.60	-0.76	-0.77	-0.64
PTPN6	-1.48	-1.46	-1.58	-1.54	-1.46	-1.44	-1.32	-1.56	-1.46	-1.35	-1.40	-1.44	-1.43	-1.67	-1.50	-1.67	-1.65	-1.34	-1.42	-1.49	-1.51	-1.50	-1.51	-1.53	-1.57	-1.38	-1.42	-1.38	-1.48	-1.41	-1.52	-1.32	-1.48	-1.45	-1.34	-1.22	-1.36	-1.43	-1.35	-1.46
ST3GAL4	-1.07	-1.00	-1.16	-1.11	-1.01	-1.00	-0.97	-1.08	-1.02	-0.98	-1.07	-1.15	-1.07	-1.22	-0.99	-1.14	-1.18	-0.98	-1.06	-1.02	-1.06	-1.07	-1.13	-1.13	-1.14	-0.96	-0.98	-0.98	-1.16	-1.00	-1.06	-0.97	-1.03	-1.08	-1.09	-0.92	-1.03	-1.11	-1.00	-0.99
SERPINA1A	-0.69	-0.74	-0.81	-0.74	-0.82	-0.76	-0.72	-0.76	-0.65	-0.83	-0.68	-0.86	-0.81	-0.86	-0.77	-0.83	-0.89	-0.73	-0.80	-0.79	-0.86	-0.92	-1.00	-0.84	-0.95	-0.78	-0.85	-0.86	-0.97	-0.83	-0.91	-0.73	-0.88	-0.85	-0.84	-0.76	-0.83	-0.88	-0.80	-0.85
SCARB1	-1.11	-1.09	-1.14	-1.04	-1.20	-1.05	-1.00	-1.16	-0.91	-1.07	-1.03	-1.17	-1.10	-1.23	-1.05	-1.12	-1.21	-1.02	-1.09	-1.14	-1.20	-1.23	-1.31	-1.17	-1.18	-0.97	-1.25	-1.23	-1.25	-1.18	-1.21	-1.04	-1.17	-1.16	-1.18	-1.05	-1.07	-1.22	-1.07	-1.13
LY6D	-1.06	-0.99	-1.05	-1.07	-0.98	-0.94	-0.87	-1.04	-0.95	-0.92	-1.01	-1.03	-0.99	-1.08	-0.92	-1.01	-1.00	-0.90	-0.97	-1.01	-0.96	-0.97	-1.00	-0.96	-1.00	-0.83	-0.94	-0.93	-1.05	-1.00	-1.00	-0.76	-0.97	-0.99	-0.98	-0.82	-0.89	-0.99	-0.89	-0.92
TRA2B	-1.17	-1.17	-1.30	-1.17	-1.18	-1.11	-1.08	-1.23	-1.20	-1.07	-1.18	-1.20	-1.11	-1.22	-1.08	-1.21	-1.25	-1.07	-1.09	-1.11	-1.12	-1.14	-1.14	-1.18	-1.25	-0.94	-1.01	-1.05	-1.24	-1.17	-1.12	-1.07	-1.09	-1.05	-1.14	-1.00	-1.06	-1.09	-1.09	-1.12
AATF	-1.08	-0.99	-1.13	-1.01	-1.06	-1.04	-1.01	-1.10	-1.03	-1.04	-1.03	-1.11	-1.09	-1.19	-1.00	-1.10	-1.18	-1.04	-1.06	-1.08	-1.06	-1.10	-1.09	-1.03	-1.11	-0.99	-1.01	-1.00	-1.11	-1.05	-1.07	-0.91	-1.01	-1.08	-1.06	-0.93	-1.03	-1.11	-1.01	-1.00
TMPO	-1.18	-1.12	-1.30	-1.14	-1.15	-1.13	-1.14	-1.18	-1.10	-1.00	-1.13	-1.18	-1.13	-1.26	-1.15	-1.19	-1.25	-1.07	-1.05	-1.13	-1.13	-1.07	-1.24	-0.99	-1.24	-1.04	-1.15	-1.11	-1.08	-1.09	-1.13	-1.02	-1.09	-1.13	-1.15	-0.94	-1.09	-1.05	-1.11	-1.11
HADHB	-1.19	-1.16	-1.37	-1.19	-1.12	-1.17	-1.19	-1.24	-1.15	-1.20	-1.18	-1.21	-1.17	-1.26	-1.14	-1.23	-1.19	-1.19	-1.13	-1.21	-1.13	-1.28	-1.22	-1.28	-1.25	-1.09	-1.11	-1.08	-1.22	-1.23	-1.23	-1.10	-1.18	-1.29	-1.18	-1.14	-1.16	-1.15	-1.11	-1.20
CDKN1A	0.76	0.86	0.82	0.71	0.83	0.90	0.72	0.65	0.82	0.81	0.62	0.71	0.77	0.82	0.78	0.69	0.78	0.81	0.91	0.75	0.72	0.57	0.54	0.70	0.68	0.71	0.65	0.62	0.54	0.75	0.66	0.79	0.63	0.62	0.69	0.83	0.67	0.60	0.92	0.77
TFAP2A	-0.12	-0.13	-0.19	-0.25	-0.17	-0.17	-0.13	-0.23	-0.04	-0.15	-0.15	-0.26	-0.21	-0.21	-0.17	-0.18	-0.19	-0.17	-0.15	-0.16	-0.24	-0.27	-0.20	-0.16	-0.18	-0.18	-0.24	-0.18	-0.16	-0.17	-0.18	-0.04	-0.20	-0.12	-0.17	-0.12	-0.12	-0.25	 0.01	-0.10
APOA1	-0.49	-0.35	-0.42	-0.39	-0.33	-0.30	-0.40	-0.31	-0.27	-0.34	-0.38	-0.39	-0.38	-0.39	-0.42	-0.36	-0.34	-0.28	-0.26	-0.36	-0.25	-0.39	-0.45	-0.30	-0.43	-0.33	-0.32	-0.27	-0.29	-0.34	-0.31	-0.18	-0.28	-0.30	-0.32	-0.24	-0.31	-0.40	-0.38	-0.38
APOB	1.08	1.12	1.04	1.05	1.08	1.12	1.04	1.02	1.17	0.95	1.10	0.97	1.00	0.98	1.07	1.03	1.04	1.11	1.07	1.03	1.07	0.90	0.86	1.04	0.99	0.86	1.02	1.00	1.01	0.97	1.04	1.18	1.06	1.07	0.96	1.08	0.98	0.94	1.05	0.98
FOS	-1.15	-1.08	-1.18	-1.11	-1.08	-1.06	-1.06	-1.16	-1.07	-1.06	-1.13	-1.20	-1.10	-1.22	-1.04	-1.17	-1.16	-1.05	-1.07	-1.13	-1.13	-1.14	-1.16	-1.16	-1.15	-1.00	-1.08	-1.04	-1.22	-1.12	-1.11	-1.01	-1.11	-1.14	-1.09	-0.98	-1.05	-1.12	-1.04	-1.08
HMGCR	-1.15	-0.95	-0.93	-1.10	-0.94	-0.83	-0.91	-1.05	-1.02	-0.78	-1.07	-0.97	-0.79	-1.07	-0.94	-1.17	-0.90	-0.95	-0.88	-1.05	-1.12	-1.11	-1.19	-1.09	-1.22	-0.91	-1.10	-1.00	-1.24	-1.14	-1.05	-0.87	-1.04	-1.14	-1.08	-0.88	-0.90	-0.87	-1.13	-1.02
ABCC2	-0.78	-0.73	-0.89	-0.93	-0.84	-0.81	-0.78	-0.91	-0.69	-0.79	-0.76	-0.93	-0.79	-0.97	-0.79	-0.87	-0.89	-0.75	-0.84	-0.87	-0.91	-0.89	-1.02	-0.94	-0.97	-0.73	-0.89	-0.89	-0.88	-0.88	-0.88	-0.69	-0.84	-0.85	-0.91	-0.76	-0.78	-0.94	-0.81	-0.87
EIF2S3X	-1.23	-1.02	-1.14	-1.10	-1.10	-1.05	-0.97	-1.14	-1.05	-0.97	-1.15	-1.21	-1.05	-1.15	-0.99	-1.09	-1.11	-0.99	-1.04	-1.07	-1.09	-1.09	-1.13	-1.08	-1.11	-0.84	-1.01	-1.04	-1.06	-1.03	-1.10	-0.91	-1.02	-1.05	-1.08	-0.90	-1.05	-1.08	-1.01	-1.02
ABCA1	-1.16	-1.11	-1.25	-1.17	-1.14	-1.08	-1.06	-1.19	-1.13	-1.09	-1.14	-1.21	-1.17	-1.20	-1.07	-1.16	-1.23	-1.12	-1.07	-1.10	-1.19	-1.22	-1.16	-1.24	-1.17	-0.98	-1.09	-1.08	-1.18	-1.12	-1.19	-1.09	-1.11	-1.13	-1.13	-1.03	-1.17	-1.12	-1.12	-1.16
FABP6	-0.78	-0.73	-0.89	-0.82	-0.71	-0.76	-0.86	-0.79	-0.73	-0.81	-0.74	-0.85	-0.87	-0.84	-0.75	-0.83	-0.82	-0.67	-0.72	-0.77	-0.80	-0.86	-0.87	-0.79	-0.82	-0.72	-0.78	-0.75	-0.85	-0.79	-0.88	-0.72	-0.83	-0.80	-0.83	-0.70	-0.83	-0.80	-0.72	-0.86
BAAT	-1.65	-1.67	-1.89	-1.70	-1.68	-1.68	-1.64	-1.72	-1.77	-1.73	-1.69	-1.79	-1.62	-1.72	-1.67	-1.72	-1.79	-1.67	-1.76	-1.73	-1.58	-1.76	-1.75	-1.80	-1.83	-1.56	-1.74	-1.57	-1.73	-1.66	-1.74	-1.59	-1.75	-1.68	-1.67	-1.55	-1.63	-1.68	-1.66	-1.69
FABP2	-1.14	-1.03	-1.16	-1.17	-1.15	-1.08	-0.99	-1.27	-1.15	-0.93	-1.17	-1.15	-1.15	-1.21	-1.06	-1.19	-1.12	-1.03	-1.03	-1.15	-1.14	-1.19	-1.21	-1.24	-1.22	-1.00	-1.10	-1.14	-1.30	-1.10	-1.16	-1.01	-1.09	-1.16	-1.13	-0.97	-1.11	-1.17	-0.98	-1.13
NOS2	-1.24	-1.20	-1.35	-1.25	-1.20	-1.16	-1.22	-1.39	-1.24	-1.22	-1.25	-1.43	-1.22	-1.30	-1.15	-1.31	-1.31	-1.25	-1.24	-1.26	-1.23	-1.37	-1.31	-1.24	-1.28	-1.12	-1.27	-1.16	-1.34	-1.28	-1.24	-1.09	-1.21	-1.25	-1.23	-1.11	-1.20	-1.30	-1.22	-1.20
ABCB8	-0.85	-0.84	-0.96	-0.87	-0.82	-0.81	-0.84	-0.82	-0.83	-0.87	-0.95	-0.90	-0.85	-0.94	-0.82	-0.92	-0.92	-0.83	-0.80	-0.85	-0.91	-0.98	-0.94	-0.87	-0.94	-0.80	-0.89	-0.86	-0.93	-0.94	-0.91	-0.82	-0.83	-0.87	-0.91	-0.84	-0.93	-0.89	-0.84	-0.87
